Time: 2026-06-11 17:59:05 | PID: 9432 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 0.0.0.0:21 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 1052 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 0.0.0.0:135 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 4 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 172.28.128.1:139 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 4 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 172.29.224.1:139 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 4 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:139 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 4 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.56.1:139 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 14208 | RazerCortex.exe | Memory: 0 KB | Risk: LOW (0) | Source: 127.0.0.1:4012 | Destination: 127.0.0.1:49675
Time: 2026-06-11 17:59:05 | PID: 26720 | python.exe | Memory: 17212 KB | Risk: LOW (0) | Source: 127.0.0.1:5000 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 26720 | python.exe | Memory: 17212 KB | Risk: LOW (0) | Source: 127.0.0.1:5000 | Destination: 127.0.0.1:31236
Time: 2026-06-11 17:59:05 | PID: 9152 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 0.0.0.0:5040 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 11732 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 0.0.0.0:5432 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 23948 | NortonUI.exe | Memory: 13756 KB | Risk: LOW (0) | Source: 192.168.1.83:6989 | Destination: 34.111.24.1:443
Time: 2026-06-11 17:59:05 | PID: 24456 | OneDrive.exe | Memory: 42664 KB | Risk: LOW (0) | Source: 192.168.1.83:6993 | Destination: 20.135.6.11:443
Time: 2026-06-11 17:59:05 | PID: 24456 | OneDrive.exe | Memory: 42664 KB | Risk: LOW (0) | Source: 192.168.1.83:6995 | Destination: 20.209.184.129:443
Time: 2026-06-11 17:59:05 | PID: 24456 | OneDrive.exe | Memory: 42664 KB | Risk: LOW (0) | Source: 192.168.1.83:6999 | Destination: 20.44.10.122:443
Time: 2026-06-11 17:59:05 | PID: 23620 | steamwebhelper.exe | Memory: 12748 KB | Risk: LOW (0) | Source: 192.168.1.83:7929 | Destination: 192.168.1.154:8009
Time: 2026-06-11 17:59:05 | PID: 20712 | NVIDIA Overlay.exe | Memory: 14864 KB | Risk: LOW (0) | Source: 192.168.1.83:7930 | Destination: 192.168.1.154:8009
Time: 2026-06-11 17:59:05 | PID: 26756 | lghub_agent.exe | Memory: 22088 KB | Risk: LOW (0) | Source: 127.0.0.1:9010 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 9876 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 127.0.0.1:9180 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 26024 | GalaxyCommunication.exe | Memory: 7652 KB | Risk: LOW (0) | Source: 127.0.0.1:9977 | Destination: 127.0.0.1:42635
Time: 2026-06-11 17:59:05 | PID: 26024 | GalaxyCommunication.exe | Memory: 7652 KB | Risk: LOW (0) | Source: 127.0.0.1:9977 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 23620 | steamwebhelper.exe | Memory: 12748 KB | Risk: LOW (0) | Source: 127.0.0.1:13186 | Destination: 127.0.0.1:27060
Time: 2026-06-11 17:59:05 | PID: 24456 | OneDrive.exe | Memory: 42664 KB | Risk: LOW (0) | Source: 192.168.1.83:13200 | Destination: 52.104.49.27:443
Time: 2026-06-11 17:59:05 | PID: 9432 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 127.0.0.1:14148 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 11696 | Code.exe | Memory: 49616 KB | Risk: LOW (0) | Source: 192.168.1.83:15039 | Destination: 20.50.201.203:443
Time: 2026-06-11 17:59:05 | PID: 4812 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:20159 | Destination: 23.218.145.68:443
Time: 2026-06-11 17:59:05 | PID: 3828 | chrome.exe | Memory: 54888 KB | Risk: LOW (0) | Source: 192.168.1.83:25265 | Destination: 192.168.1.154:8009
Time: 2026-06-11 17:59:05 | PID: 30480 | AppleMobileDeviceProcess.exe | Memory: 2692 KB | Risk: LOW (0) | Source: 127.0.0.1:27015 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 25500 | steam.exe | Memory: 94596 KB | Risk: LOW (0) | Source: 0.0.0.0:27036 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 25500 | steam.exe | Memory: 94596 KB | Risk: LOW (0) | Source: 127.0.0.1:27060 | Destination: 127.0.0.1:13186
